GRP,ITEMID,ITEMDESC,WHCode,WHName,WHRegion,Desc3,ItemOrder1,ItemOrder2,ClipBd,Company,QtyOnHand,QtyOnPO,QtyOnSO,QtyAvailable
"Oils, Shortening, Marg",2105,Canola Oil 4x5L PET (SUNNZ),CHC01,Bascik,CHC,Canola Oil 4x5L PET (SUNNZ),0,0,,Kauri New Zealand Ltd,0,0,-41,-41
"Oils, Shortening, Marg",2105,Canola Oil 4x5L PET (SUNNZ),GIT,Goods In Transit,GIT,As per attached Buying Specification,0,0,,Kauri New Zealand Ltd,72,0,0,72
"Oils, Shortening, Marg",2105,Canola Oil 4x5L PET (SUNNZ),WGT01,Booths Transport Ltd,WGT,As per attached Buying Specification,0,0,,Kauri New Zealand Ltd,146,0,0,146
"Oils, Shortening, Marg",2105,Canola Oil 4x5L PET (SUNNZ),WGT01,Booths Transport Ltd,WGT,Canola Oil 4x5L PET (SUNNZ),0,0,,Kauri New Zealand Ltd,0,623,-10,613
"Oils, Shortening, Marg",2105MW,Canola Oil 4x5L PET (Moore Wilson),WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,504,0,0,504
"Oils, Shortening, Marg",2105MW,Canola Oil 4x5L PET (Moore Wilson),WGT01,Booths Transport Ltd,WGT,Canola Oil 4x5L PET (Moore Wilson),0,0,,Kauri New Zealand Ltd,0,0,-252,-252
"Oils, Shortening, Marg",2200MW,Soya Bean Oil 15L BIB With Tap (Moore Wilson),WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,700,0,0,700
"Oils, Shortening, Marg",2200MW,Soya Bean Oil 15L BIB With Tap (Moore Wilson),WGT01,Booths Transport Ltd,WGT,Soya Bean Oil 15L BIB With Tap (Moore Wilson),0,0,,Kauri New Zealand Ltd,0,0,-350,-350
"Oils, Shortening, Marg",2206,Soya Bean Oil 4x5L PET (Sunnz),AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,266,0,0,266
"Oils, Shortening, Marg",2206,Soya Bean Oil 4x5L PET (Sunnz),AKD01,Kauri Warehouse,AKD,Soya Bean Oil 4x5L PET (Sunnz),0,0,,Kauri New Zealand Ltd,0,0,-2,-2
"Oils, Shortening, Marg",2206,Soya Bean Oil 4x5L PET (Sunnz),CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,66,0,0,66
"Oils, Shortening, Marg",2206,Soya Bean Oil 4x5L PET (Sunnz),WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,22,0,0,22
"Oils, Shortening, Marg",2206,Soya Bean Oil 4x5L PET (Sunnz),WGT01,Booths Transport Ltd,WGT,Soya Bean Oil 4x5L PET (Sunnz),0,0,,Kauri New Zealand Ltd,0,0,-1,-1
"Oils, Shortening, Marg",2206MW,Soya Bean Oil 4x5L PET (Moore Wilson),WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,346,0,0,346
"Oils, Shortening, Marg",2206MW,Soya Bean Oil 4x5L PET (Moore Wilson),WGT01,Booths Transport Ltd,WGT,Soya Bean Oil 4x5L PET (Moore Wilson),0,0,,Kauri New Zealand Ltd,0,0,-173,-173
"Oils, Shortening, Marg",2400,Riceola 15LBiB (Sunnz),AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,2594,0,0,2594
"Oils, Shortening, Marg",2400,Riceola 15LBiB (Sunnz),AKD01,Kauri Warehouse,AKD,Riceola 15LBiB (Sunnz),0,0,,Kauri New Zealand Ltd,0,990,-205,785
"Oils, Shortening, Marg",2400,Riceola 15LBiB (Sunnz),CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,386,0,0,386
"Oils, Shortening, Marg",2400,Riceola 15LBiB (Sunnz),CHC01,Bascik,CHC,Riceola 15LBiB (Sunnz),0,0,,Kauri New Zealand Ltd,0,0,-17,-17
"Oils, Shortening, Marg",2400,Riceola 15LBiB (Sunnz),WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,220,0,0,220
"Oils, Shortening, Marg",2400,Riceola 15LBiB (Sunnz),WGT01,Booths Transport Ltd,WGT,Riceola 15LBiB (Sunnz),0,0,,Kauri New Zealand Ltd,0,0,-9,-9
"Oils, Shortening, Marg",2400D,Riceola 15L BiB (Stained),AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,2,0,0,2
"Oils, Shortening, Marg",2409,Crude Rice Bran Oil (20L) J/C,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,0,0,0,0
"Oils, Shortening, Marg",2410,Crude Rice Bran Oil (20L) BIB,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,410,0,0,410
"Oils, Shortening, Marg",2410,Crude Rice Bran Oil (20L) BIB,AKD01,Kauri Warehouse,AKD,Crude Rice Bran Oil (20L) BIB,0,0,,Kauri New Zealand Ltd,0,0,-200,-200
"Oils, Shortening, Marg",2430,Rice Bran Oil 4x5L PET (Sunnz),AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,354,0,0,354
"Oils, Shortening, Marg",2430,Rice Bran Oil 4x5L PET (Sunnz),AKD01,Kauri Warehouse,AKD,Rice Bran Oil 4x5L PET (Sunnz),0,0,,Kauri New Zealand Ltd,0,244,-3,241
"Oils, Shortening, Marg",2430,Rice Bran Oil 4x5L PET (Sunnz),CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,86,0,0,86
"Oils, Shortening, Marg",2430,Rice Bran Oil 4x5L PET (Sunnz),CHC01,Bascik,CHC,Rice Bran Oil 4x5L PET (Sunnz),0,0,,Kauri New Zealand Ltd,0,0,-6,-6
"Oils, Shortening, Marg",2430,Rice Bran Oil 4x5L PET (Sunnz),WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,96,0,0,96
"Oils, Shortening, Marg",2430,Rice Bran Oil 4x5L PET (Sunnz),WGT01,Booths Transport Ltd,WGT,Rice Bran Oil 4x5L PET (Sunnz),0,0,,Kauri New Zealand Ltd,0,0,-3,-3
"Oils, Shortening, Marg",2510,Sunflower Oil 4x5L PET (Sunnz),AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,169.5,0,0,169.5
"Oils, Shortening, Marg",2510,Sunflower Oil 4x5L PET (Sunnz),AKD01,Kauri Warehouse,AKD,Sunflower Oil 4x5L PET (Sunnz),0,0,,Kauri New Zealand Ltd,0,0,-74,-74
"Oils, Shortening, Marg",2510,Sunflower Oil 4x5L PET (Sunnz),WGT01,Booths Transport Ltd,WGT,Sunflower Oil 4x5L PET (Sunnz),0,0,,Kauri New Zealand Ltd,0,300,0,300
"Oils, Shortening, Marg",2600,Olive Oil - Pomace 1000L,AKD01,Kauri Warehouse,AKD,Olive Oil - Pomace 1000L,0,0,,Kauri New Zealand Ltd,0,4,-4,0
"Oils, Shortening, Marg",2600,Olive Oil - Pomace 1000L,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,40,0,0,40
"Oils, Shortening, Marg",2600,Olive Oil - Pomace 1000L,WGT01,Booths Transport Ltd,WGT,Olive Oil - Pomace 1000L,0,0,,Kauri New Zealand Ltd,0,40,-60,-20
"Oils, Shortening, Marg",2602,Extra Virgin Olive Oil (Sunnolive) 4x4L,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,492,0,0,492
"Oils, Shortening, Marg",2602,Extra Virgin Olive Oil (Sunnolive) 4x4L,AKD01,Kauri Warehouse,AKD,Extra Virgin Olive Oil (Sunnolive) 4x4L,0,0,,Kauri New Zealand Ltd,0,955,-17,938
"Oils, Shortening, Marg",2602,Extra Virgin Olive Oil (Sunnolive) 4x4L,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,148,0,0,148
"Oils, Shortening, Marg",2602,Extra Virgin Olive Oil (Sunnolive) 4x4L,CHC01,Bascik,CHC,Extra Virgin Olive Oil (Sunnolive) 4x4L,0,0,,Kauri New Zealand Ltd,0,0,-10,-10
"Oils, Shortening, Marg",2602,Extra Virgin Olive Oil (Sunnolive) 4x4L,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,116,0,0,116
"Oils, Shortening, Marg",2602,Extra Virgin Olive Oil (Sunnolive) 4x4L,WGT01,Booths Transport Ltd,WGT,Extra Virgin Olive Oil (Sunnolive) 4x4L,0,0,,Kauri New Zealand Ltd,0,0,-14,-14
"Oils, Shortening, Marg",2602T,Extra Virgin Olive Oil (Sunnolive) 4x4L,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,1,0,0,1
"Oils, Shortening, Marg",2603,Pomace Olive Oil (Sunnolive) 3x3L PET,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,1514,0,0,1514
"Oils, Shortening, Marg",2603,Pomace Olive Oil (Sunnolive) 3x3L PET,AKD01,Kauri Warehouse,AKD,Pomace Olive Oil (Sunnolive) 3x3L PET,0,0,,Kauri New Zealand Ltd,0,2100,-18,2082
"Oils, Shortening, Marg",2603,Pomace Olive Oil (Sunnolive) 3x3L PET,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,336,0,0,336
"Oils, Shortening, Marg",2603,Pomace Olive Oil (Sunnolive) 3x3L PET,CHC01,Bascik,CHC,Pomace Olive Oil (Sunnolive) 3x3L PET,0,0,,Kauri New Zealand Ltd,0,0,-47,-47
"Oils, Shortening, Marg",2603,Pomace Olive Oil (Sunnolive) 3x3L PET,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,200,0,0,200
"Oils, Shortening, Marg",2603,Pomace Olive Oil (Sunnolive) 3x3L PET,WGT01,Booths Transport Ltd,WGT,Pomace Olive Oil (Sunnolive) 3x3L PET,0,0,,Kauri New Zealand Ltd,0,0,-15,-15
"Oils, Shortening, Marg",2650,Sunnz Grapeseed Oil 3x3L PET,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,316,0,0,316
"Oils, Shortening, Marg",2650,Sunnz Grapeseed Oil 3x3L PET,AKD01,Kauri Warehouse,AKD,Sunnz Grapeseed Oil 3x3L PET,0,0,,Kauri New Zealand Ltd,0,780,-13,767
"Oils, Shortening, Marg",2650,Sunnz Grapeseed Oil 3x3L PET,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,206,0,0,206
"Oils, Shortening, Marg",2650,Sunnz Grapeseed Oil 3x3L PET,WGT01,Booths Transport Ltd,WGT,Sunnz Grapeseed Oil 3x3L PET,0,0,,Kauri New Zealand Ltd,0,0,-6,-6
"Oils, Shortening, Marg",2740,SUNNZ Sunnfry Mass Balance 12.5kg ctn,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,906,0,0,906
"Oils, Shortening, Marg",2740,SUNNZ Sunnfry Mass Balance 12.5kg ctn,AKD01,Kauri Warehouse,AKD,SUNNZ Sunnfry Mass Balance 12.5kg ctn,0,0,,Kauri New Zealand Ltd,0,2688,-2798,-110
"Oils, Shortening, Marg",2998,Taps - RED taps for Oils (Bags in Box),WOFF,Wellington Office,WOFF,,0,0,,Kauri New Zealand Ltd,992,0,0,992
"Oils, Shortening, Marg",2999,Taps for Sunnz Oils (Bags in Box),AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,360,0,0,360
Dried Fruits,3123,Banana Dice 10mm with Rice Flour 20kg Ctn,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,60,0,0,60
Dried Fruits,3123,Banana Dice 10mm with Rice Flour 20kg Ctn,CHC01,Bascik,CHC,Banana Dice 10mm with Rice Flour 20kg Ctn,0,0,,Kauri New Zealand Ltd,0,111,-136,-25
Dried Fruits,3205,Mango Slice 20kg Ctn,AKD01,Kauri Warehouse,AKD,Include Barcode Label,0,0,,Kauri New Zealand Ltd,840,0,0,840
Dried Fruits,3205,Mango Slice 20kg Ctn,AKD01,Kauri Warehouse,AKD,Mango Slice 20kg Ctn,0,0,,Kauri New Zealand Ltd,0,1260,-1680,-420
Dried Fruits,3311,Papaya Dice 10mm 20kg ctn,AKD01,Kauri Warehouse,AKD,Papaya Dice 10mm 20kg ctn,0,0,,Kauri New Zealand Ltd,0,64,-64,0
Dried Fruits,3401,Pine Dice 10mm 20kg Ctn,AKD01,Kauri Warehouse,AKD,Pine Dice 10mm 20kg Ctn,0,0,,Kauri New Zealand Ltd,0,40,-40,0
Dried Fruits,3530,Strawberry Whole Med Natural Color No Flavour 20kg,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,70,0,0,70
Dried Fruits,3530,Strawberry Whole Med Natural Color No Flavour 20kg,AKD01,Kauri Warehouse,AKD,Strawberry Whole Med Natural Color No Flavour 20kg,0,0,,Kauri New Zealand Ltd,0,0,-35,-35
Dried Fruits,3607S,Ginger Dice Glace 3-5mm 5kg Ctn,AKD01,Kauri Warehouse,AKD,Ginger Dice Glace 3-5mm 5kg Ctn,0,0,,Kauri New Zealand Ltd,0,400,-400,0
Turkish Commissioned,3891,Bella Hot Pepper Sauce 12 x195g Jar,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,28,0,0,28
Turkish Commissioned,3891,Bella Hot Pepper Sauce 12 x195g Jar,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,10,0,0,10
Turkish Commissioned,3891,Bella Hot Pepper Sauce 12 x195g Jar,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,32,0,0,32
Turkish Commissioned,3892,Bella Hot Pepper Sauce 12x670g Jars,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,1012,0,0,1012
Turkish Commissioned,3892,Bella Hot Pepper Sauce 12x670g Jars,AKD01,Kauri Warehouse,AKD,Bella Hot Pepper Sauce 12x670g Jars,0,0,,Kauri New Zealand Ltd,0,0,-1,-1
Turkish Commissioned,3892,Bella Hot Pepper Sauce 12x670g Jars,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,35.84,0,0,35.84
Turkish Commissioned,3892,Bella Hot Pepper Sauce 12x670g Jars,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,86,0,0,86
Turkish Commissioned,3893,Bella Sundried Tomato Diced wth Olives 12x360g Jar,AKD01,Kauri Warehouse,AKD,As per attached Buying Specification,0,0,,Kauri New Zealand Ltd,212,0,0,212
Turkish Commissioned,3894D,Bella Sundried Tom Diced w Olives 6x2kg PET DMG,AKD01,Kauri Warehouse,AKD,As per attached Buying Specification,0,0,,Kauri New Zealand Ltd,934,0,0,934
Turkish Commissioned,3895,BELLA Roasted Red Peppers 6x3kg tins/ctn,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,2978,0,0,2978
Turkish Commissioned,3895,BELLA Roasted Red Peppers 6x3kg tins/ctn,AKD01,Kauri Warehouse,AKD,BELLA Roasted Red Peppers 6x3kg tins/ctn,0,0,,Kauri New Zealand Ltd,0,1316,-14,1302
Turkish Commissioned,3895,BELLA Roasted Red Peppers 6x3kg tins/ctn,IND01,NZ Indent Orders,IND,BELLA Roasted Red Peppers 6x3kg tins/ctn,0,0,,Kauri New Zealand Ltd,0,1344,0,1344
Turkish Commissioned,3895,BELLA Roasted Red Peppers 6x3kg tins/ctn,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,1812,0,0,1812
Turkish Commissioned,3895,BELLA Roasted Red Peppers 6x3kg tins/ctn,WGT01,Booths Transport Ltd,WGT,BELLA Roasted Red Peppers 6x3kg tins/ctn,0,0,,Kauri New Zealand Ltd,0,108,-20,88
Turkish Commissioned,3905,BELLA Stuffed Vine Leaves 24 x 400g tin per ctn,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,472,0,0,472
Turkish Commissioned,3905,BELLA Stuffed Vine Leaves 24 x 400g tin per ctn,AKD01,Kauri Warehouse,AKD,BELLA Stuffed Vine Leaves 24 x 400g tin per ctn,0,0,,Kauri New Zealand Ltd,0,0,-4,-4
Turkish Commissioned,3913,BELLA Gherkins Sweet & Sour #2/3 6 x 2550g Jar,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,20,0,0,20
Turkish Commissioned,3913,BELLA Gherkins Sweet & Sour #2/3 6 x 2550g Jar,AKD01,Kauri Warehouse,AKD,BELLA Gherkins Sweet & Sour #2/3 6 x 2550g Jar,0,0,,Kauri New Zealand Ltd,0,0,-1,-1
Turkish Commissioned,3913,BELLA Gherkins Sweet & Sour #2/3 6 x 2550g Jar,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,696,0,0,696
Turkish Commissioned,3913,BELLA Gherkins Sweet & Sour #2/3 6 x 2550g Jar,WGT01,Booths Transport Ltd,WGT,BELLA Gherkins Sweet & Sour #2/3 6 x 2550g Jar,0,0,,Kauri New Zealand Ltd,0,462,-72,390
Turkish Commissioned,3925,Bella Sundried Tomato Halves in Oil 6x2kg PET/Ctn,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,707,0,0,707
Turkish Commissioned,3925,Bella Sundried Tomato Halves in Oil 6x2kg PET/Ctn,AKD01,Kauri Warehouse,AKD,Bella Sundried Tomato Halves in Oil 6x2kg PET/Ctn,0,0,,Kauri New Zealand Ltd,0,400,-126.5,273.5
Turkish Commissioned,3925,Bella Sundried Tomato Halves in Oil 6x2kg PET/Ctn,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,86,0,0,86
Turkish Commissioned,3925,Bella Sundried Tomato Halves in Oil 6x2kg PET/Ctn,WGT01,Booths Transport Ltd,WGT,Bella Sundried Tomato Halves in Oil 6x2kg PET/Ctn,0,0,,Kauri New Zealand Ltd,0,0,-12,-12
Turkish Commissioned,3927,Bella Sundried Tomato Strips in Oil 6x1.9 PET/ctn,AKD01,Kauri Warehouse,AKD,(Bella formulation),0,0,,Kauri New Zealand Ltd,793.66,0,0,793.66
Turkish Commissioned,3927,Bella Sundried Tomato Strips in Oil 6x1.9 PET/ctn,AKD01,Kauri Warehouse,AKD,Bella Sundried Tomato Strips in Oil 6x1.9 PET/ctn,0,0,,Kauri New Zealand Ltd,0,1400,-408,992
Turkish Commissioned,3927,Bella Sundried Tomato Strips in Oil 6x1.9 PET/ctn,WGT01,Booths Transport Ltd,WGT,(Bella formulation),0,0,,Kauri New Zealand Ltd,98,0,0,98
Turkish Commissioned,3927,Bella Sundried Tomato Strips in Oil 6x1.9 PET/ctn,WGT01,Booths Transport Ltd,WGT,Bella Sundried Tomato Strips in Oil 6x1.9 PET/ctn,0,0,,Kauri New Zealand Ltd,0,0,-35,-35
Turkish Commissioned,3929,Bella Jalapenos Green Sliced 6x2.95Kg Tins,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,285.68,0,0,285.68
Turkish Commissioned,3929,Bella Jalapenos Green Sliced 6x2.95Kg Tins,AKD01,Kauri Warehouse,AKD,Bella Jalapenos Green Sliced 6x2.95Kg Tins,0,0,,Kauri New Zealand Ltd,0,800,-5,795
Turkish Commissioned,3929,Bella Jalapenos Green Sliced 6x2.95Kg Tins,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,72,0,0,72
Turkish Commissioned,3929,Bella Jalapenos Green Sliced 6x2.95Kg Tins,CHC01,Bascik,CHC,Bella Jalapenos Green Sliced 6x2.95Kg Tins,0,0,,Kauri New Zealand Ltd,0,0,-7,-7
Turkish Commissioned,3929,Bella Jalapenos Green Sliced 6x2.95Kg Tins,IND01,NZ Indent Orders,IND,Bella Jalapenos Green Sliced 6x2.95Kg Tins,0,0,,Kauri New Zealand Ltd,0,672,0,672
Turkish Commissioned,3929,Bella Jalapenos Green Sliced 6x2.95Kg Tins,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,102,0,0,102
Turkish Commissioned,3929,Bella Jalapenos Green Sliced 6x2.95Kg Tins,WGT01,Booths Transport Ltd,WGT,Bella Jalapenos Green Sliced 6x2.95Kg Tins,0,0,,Kauri New Zealand Ltd,0,600,-44,556
Turkish Commissioned,3930,BELLA Red Pepper Strips In Brine 6x3kg tin/ctn,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,386,0,0,386
Turkish Commissioned,3930,BELLA Red Pepper Strips In Brine 6x3kg tin/ctn,AKD01,Kauri Warehouse,AKD,BELLA Red Pepper Strips In Brine 6x3kg tin/ctn,0,0,,Kauri New Zealand Ltd,0,908,-13,895
Turkish Commissioned,3930,BELLA Red Pepper Strips In Brine 6x3kg tin/ctn,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,216,0,0,216
Turkish Commissioned,3930,BELLA Red Pepper Strips In Brine 6x3kg tin/ctn,WGT01,Booths Transport Ltd,WGT,BELLA Red Pepper Strips In Brine 6x3kg tin/ctn,0,0,,Kauri New Zealand Ltd,0,300,-7,293
Turkish Commissioned,3933,Bella Sundried Tomato Paste 12x360g Jars,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,226,0,0,226
Turkish Commissioned,3933,Bella Sundried Tomato Paste 12x360g Jars,AKD01,Kauri Warehouse,AKD,Bella Sundried Tomato Paste 12x360g Jars,0,0,,Kauri New Zealand Ltd,0,400,-30,370
Turkish Commissioned,3933,Bella Sundried Tomato Paste 12x360g Jars,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,30,0,0,30
Turkish Commissioned,3933,Bella Sundried Tomato Paste 12x360g Jars,WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,24,0,0,24
Turkish Commissioned,3933,Bella Sundried Tomato Paste 12x360g Jars,WOFF,Wellington Office,WOFF,,0,0,,Kauri New Zealand Ltd,4,0,0,4
Turkish Commissioned,3950,Apple Tea 9 x 700g tins per tray,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,110,0,0,110
Turkish Commissioned,3955,Turkish Delight - Asst (Ntl-Rse-Hzl-Pistc) 325gx24,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,2,0,0,2
Turkish Commissioned,3955,Turkish Delight - Asst (Ntl-Rse-Hzl-Pistc) 325gx24,AKD01,Kauri Warehouse,AKD,Turkish Delight - Asst (Ntl-Rse-Hzl-Pistc) 325gx24,0,0,,Kauri New Zealand Ltd,0,0,-1,-1
Turkish Commissioned,3956,Turkish Delight - Asst(Apr-Org-Chrry-Str) 325gx24,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,66,0,0,66
Turkish Commissioned,3956,Turkish Delight - Asst(Apr-Org-Chrry-Str) 325gx24,AKD01,Kauri Warehouse,AKD,Turkish Delight - Asst(Apr-Org-Chrry-Str) 325gx24,0,0,,Kauri New Zealand Ltd,0,0,-33,-33
Turkish Commissioned,3957,Turkish Delight - Rose 325g x 24,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,118,0,0,118
Turkish Commissioned,3957,Turkish Delight - Rose 325g x 24,AKD01,Kauri Warehouse,AKD,Turkish Delight - Rose 325g x 24,0,0,,Kauri New Zealand Ltd,0,0,-59,-59
Turkish Commissioned,3964,Turkish Delight - Rose 200g  x 50 ctn,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,10,0,0,10
Turkish Commissioned,3965,BELLA Pizza Sauce (10-12 Brix) 3x4.1kg can,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,1736,0,0,1736
Turkish Commissioned,3965,BELLA Pizza Sauce (10-12 Brix) 3x4.1kg can,AKD01,Kauri Warehouse,AKD,BELLA Pizza Sauce (10-12 Brix) 3x4.1kg can,0,0,,Kauri New Zealand Ltd,0,4500,-116,4384
Turkish Commissioned,3965,BELLA Pizza Sauce (10-12 Brix) 3x4.1kg can,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,1718,0,0,1718
Turkish Commissioned,3965,BELLA Pizza Sauce (10-12 Brix) 3x4.1kg can,CHC01,Bascik,CHC,BELLA Pizza Sauce (10-12 Brix) 3x4.1kg can,0,0,,Kauri New Zealand Ltd,0,1500,-8,1492
Turkish Commissioned,3965,BELLA Pizza Sauce (10-12 Brix) 3x4.1kg can,IND01,NZ Indent Orders,IND,BELLA Pizza Sauce (10-12 Brix) 3x4.1kg can,0,0,,Kauri New Zealand Ltd,0,1000,0,1000
