KAURIITEMCODE,BRAND,SHORTDESCRIPTION,CURRENCY,EARLYORDERPRICING,STANDARDPRICING,EARLYORDERPRICETOCUSTOMERAUS,STANDARDPRICETOCUSTOMERAUS,EARLYORDERPRICETOCUSTOMERNZ,STANDARDPRICETOCUSTOMERNZ,SIZE,SEASONING,BENDING,TOASTING,GRAIN,OAK,TERMS,BARRELMARKINGS1,BARRELMARKINGS2,LABELLINEI,LABELLINE2,LABELLINE3,LABELLINE4,LABELLINE5,LONGBARRELCODE,FULLDESCRIPTION,CURRENTLYAVAILABLE
6708,Saury,XTL225L M+ TH,Euro,843,860,1160,1200,1120,1145,Bord Exp Thinstave 225L,2yr,Fire,M+ TH,Fine,French Oak,ex W,,TS 225L M+ TH,6708,Saury,French Oak,XTL225L M+ TH,customer name,Saury Bord Exp TS 225L M+ TH,Saury French Oak Bord Exp Thinstave 225L Fire M+ TH,N
6709,Saury,XTL225L Lumiere,Euro,843,860,1140,1180,1100,1125,Bord Exp Thinstave 225L,2yr,Fire,Lumiere,Fine,French Oak,ex W,,TS 225L Lumiere ,6709,Saury,French Oak,XTL225L Lumiere,customer name,Saury Bord Exp TS 225L Lumiere,Saury French Oak Bord Exp Thinstave 225L Fire Lumiere,N
6710,Saury,XTL225L Lumiere TH,Euro,843,860,1160,1200,1120,1145,Bord Exp Thinstave 225L,2yr,Fire,Lumiere TH,Fine,French Oak,ex W,,TS 225L Lumiere TH,6710,Saury,French Oak,XTL225L Lumiere TH,customer name,Saury Bord Exp TS 225L Lumiere TH,Saury French Oak Bord Exp Thinstave 225L Fire Lumiere TH,N
6711,Saury,XTL225L Imm M,Euro,843,860,1140,1180,1100,1125,Bord Exp Thinstave 225L,2yr,Immersion,M,Fine,French Oak,ex W,,TS 225L Immersion M,6711,Saury,French Oak,XTL225L Imm M,customer name,Saury Bord Exp TS 225L Imm M,Saury French Oak Bord Exp Thinstave 225L Immersion M,N
6712,Saury,XTL225L Imm M TH,Euro,843,860,1160,1200,1120,1145,Bord Exp Thinstave 225L,2yr,Immersion,M TH,Fine,French Oak,ex W,,TS 225L Immersion M TH,6712,Saury,French Oak,XTL225L Imm M TH,customer name,Saury Bord Exp TS 225L Imm M TH,Saury French Oak Bord Exp Thinstave 225L Immersion M TH,N
6713,Saury,XTL225L Imm M+,Euro,843,860,1140,1180,1100,1125,Bord Exp Thinstave 225L,2yr,Immersion,M+,Fine,French Oak,ex W,,TS 225L Immersion M+,6713,Saury,French Oak,XTL225L Imm M+,customer name,Saury Bord Exp TS 225L Imm M+,Saury French Oak Bord Exp Thinstave 225L Immersion M+,N
6714,Saury,XTL225L Imm M+ TH,Euro,843,860,1160,1200,1120,1145,Bord Exp Thinstave 225L,2yr,Immersion,M+ TH,Fine,French Oak,ex W,,TS 225L Immersion M+ TH,6714,Saury,French Oak,XTL225L Imm M+ TH,customer name,Saury Bord Exp TS 225L Imm M+ TH,Saury French Oak Bord Exp Thinstave 225L Immersion M+ TH,N
6715,Saury,XTL225L Imm Lumiere,Euro,843,860,1140,1180,1100,1125,Bord Exp Thinstave 225L,2yr,Immersion,Lumiere,Fine,French Oak,ex W,,TS 225L Immersion Lumiere,6715,Saury,French Oak,XTL225L Imm Lumiere,customer name,Saury Bord Exp TS 225L Imm Lumiere,Saury French Oak Bord Exp Thinstave 225L Immersion Lumiere,N
6716,Saury,XTL225L Imm Lumiere TH,Euro,843,860,1160,1200,1120,1145,Bord Exp Thinstave 225L,2yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,TS 225L Immersion Lumiere TH,6716,Saury,French Oak,XTL225L Imm Lumiere TH,customer name,Saury Bord Exp TS 225L Imm Lumiere TH,Saury French Oak Bord Exp Thinstave 225L Immersion Lumiere TH,N
6717,Saury,XTL225L 3yr L,Euro,865,883,1170,1210,1130,1155,Bord Exp Thinstave 225L,3yr,Fire,L,Fine,French Oak,ex W,,3yr TS 225L L,6717,Saury,French Oak,XTL225L 3yr L,customer name,Saury Bord Exp 3yr TS 225L L,Saury French Oak Bord Exp Thinstave 225L 3yr Fire L,N
6718,Saury,XTL225L 3yr L TH,Euro,865,883,1190,1230,1150,1175,Bord Exp Thinstave 225L,3yr,Fire,L TH,Fine,French Oak,ex W,,3yr TS 225L L TH,6718,Saury,French Oak,XTL225L 3yr L TH,customer name,Saury Bord Exp 3yr TS 225L L TH,Saury French Oak Bord Exp Thinstave 225L 3yr Fire L TH,N
6719,Saury,XTL225L 3yr M,Euro,865,883,1170,1210,1130,1155,Bord Exp Thinstave 225L,3yr,Fire,M,Fine,French Oak,ex W,,3yr TS 225L M,6719,Saury,French Oak,XTL225L 3yr M,customer name,Saury Bord Exp 3yr TS 225L M,Saury French Oak Bord Exp Thinstave 225L 3yr Fire M,Y
6720,Saury,XTL225L 3yr M TH,Euro,865,883,1190,1230,1150,1175,Bord Exp Thinstave 225L,3yr,Fire,M TH,Fine,French Oak,ex W,,3yr TS 225L M TH,6720,Saury,French Oak,XTL225L 3yr M TH,customer name,Saury Bord Exp 3yr TS 225L M TH,Saury French Oak Bord Exp Thinstave 225L 3yr Fire M TH,Y
6721,Saury,XTL225L 3yr M+,Euro,865,883,1170,1210,1130,1155,Bord Exp Thinstave 225L,3yr,Fire,M+,Fine,French Oak,ex W,,3yr TS 225L M+,6721,Saury,French Oak,XTL225L 3yr M+,customer name,Saury Bord Exp 3yr TS 225L M+,Saury French Oak Bord Exp Thinstave 225L 3yr Fire M+,Y
6722,Saury,XTL225L 3yr M+ TH,Euro,865,883,1190,1230,1150,1175,Bord Exp Thinstave 225L,3yr,Fire,M+ TH,Fine,French Oak,ex W,,3yr TS 225L M+ TH,6722,Saury,French Oak,XTL225L 3yr M+ TH,customer name,Saury Bord Exp 3yr TS 225L M+ TH,Saury French Oak Bord Exp Thinstave 225L 3yr Fire M+ TH,Y
6723,Saury,XTL225L 3yr Lumiere,Euro,865,883,1170,1210,1130,1155,Bord Exp Thinstave 225L,3yr,Fire,Lumiere,Fine,French Oak,ex W,,3yr TS 225L Lumiere,6723,Saury,French Oak,XTL225L 3yr Lumiere,customer name,Saury Bord Exp 3yr TS 225L Lumiere,Saury French Oak Bord Exp Thinstave 225L 3yr Fire Lumiere,Y
6724,Saury,XTL225L 3yr Lumiere TH,Euro,865,883,1190,1230,1150,1175,Bord Exp Thinstave 225L,3yr,Fire,Lumiere TH,Fine,French Oak,ex W,,3yr TS 225L Lumiere TH,6724,Saury,French Oak,XTL225L 3yr Lumiere TH,customer name,Saury Bord Exp 3yr TS 225L Lumiere TH,Saury French Oak Bord Exp Thinstave 225L 3yr Fire Lumiere TH,Y
6725,Saury,XTL225L 3yr Imm L,Euro,865,883,1170,1210,1130,1155,Bord Exp Thinstave 225L,3yr,Immersion,L,Fine,French Oak,ex W,,3yr TS 225L Immersion L,6725,Saury,French Oak,XTL225L 3yr Imm L,customer name,Saury Bord Exp 3yr TS 225L Imm L,Saury French Oak Bord Exp Thinstave 225L 3yr Immersion L,N
6726,Saury,XTL225L 3yr Imm L TH,Euro,865,883,1190,1230,1150,1175,Bord Exp Thinstave 225L,3yr,Immersion,L TH,Fine,French Oak,ex W,,3yr TS 225L Immersion L TH,6726,Saury,French Oak,XTL225L 3yr Imm L TH,customer name,Saury Bord Exp 3yr TS 225L Imm L TH,Saury French Oak Bord Exp Thinstave 225L 3yr Immersion L TH,N
6727,Saury,XTL225L 3yr Imm M,Euro,865,883,1170,1210,1130,1155,Bord Exp Thinstave 225L,3yr,Immersion,M,Fine,French Oak,ex W,,3yr TS 225L Immersion M,6727,Saury,French Oak,XTL225L 3yr Imm M,customer name,Saury Bord Exp 3yr TS 225L Imm M,Saury French Oak Bord Exp Thinstave 225L 3yr Immersion M,Y
6728,Saury,XTL225L 3yr Imm M TH,Euro,865,883,1190,1230,1150,1175,Bord Exp Thinstave 225L,3yr,Immersion,M TH,Fine,French Oak,ex W,,3yr TS 225L Immersion M TH,6728,Saury,French Oak,XTL225L 3yr Imm M TH,customer name,Saury Bord Exp 3yr TS 225L Imm M TH,Saury French Oak Bord Exp Thinstave 225L 3yr Immersion M TH,Y
6729,Saury,XTL225L 3yr Imm M+,Euro,865,883,1170,1210,1130,1155,Bord Exp Thinstave 225L,3yr,Immersion,M+,Fine,French Oak,ex W,,3yr TS 225L Immersion M+,6729,Saury,French Oak,XTL225L 3yr Imm M+,customer name,Saury Bord Exp 3yr TS 225L Imm M+,Saury French Oak Bord Exp Thinstave 225L 3yr Immersion M+,Y
6730,Saury,XTL225L 3yr Imm M+ TH,Euro,865,883,1190,1230,1150,1175,Bord Exp Thinstave 225L,3yr,Immersion,M+ TH,Fine,French Oak,ex W,,3yr TS 225L Immersion M+ TH,6730,Saury,French Oak,XTL225L 3yr Imm M+ TH,customer name,Saury Bord Exp 3yr TS 225L Imm M+ TH,Saury French Oak Bord Exp Thinstave 225L 3yr Immersion M+ TH,Y
6731,Saury,XTL225L 3yr Imm Lumiere,Euro,865,883,1170,1210,1130,1155,Bord Exp Thinstave 225L,3yr,Immersion,Lumiere,Fine,French Oak,ex W,,3yr TS 225L Immersion Lumiere,6731,Saury,French Oak,XTL225L 3yr Imm Lumiere,customer name,Saury Bord Exp 3yr TS 225L Imm Lumiere,Saury French Oak Bord Exp Thinstave 225L 3yr Immersion Lumiere,Y
6732,Saury,XTL225L 3yr Imm Lumiere TH,Euro,865,883,1190,1230,1150,1175,Bord Exp Thinstave 225L,3yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,3yr TS 225L Immersion Lumiere TH,6732,Saury,French Oak,XTL225L 3yr Imm Lumiere TH,customer name,Saury Bord Exp 3yr TS 225L Imm Lum TH,Saury French Oak Bord Exp Thinstave 225L 3yr Immersion Lumiere TH,Y
6200,Saury,XTL M,Euro,843,860,1140,1180,1100,1125,Bord Thinstave 240L,2yr,Fire,M,Fine,French Oak,ex W,,TS M ,6200,Saury,French Oak,XTL M,customer name,Saury Bord Exp TS 240L M ,Saury French Oak Bord Thinstave 240L Fire M,N
6210,Saury,XTL M TH,Euro,843,860,1160,1200,1120,1145,Bord Thinstave 240L,2yr,Fire,M TH,Fine,French Oak,ex W,,TS M TH ,6210,Saury,French Oak,XTL M TH,customer name,Saury Bord Exp TS 240L M TH ,Saury French Oak Bord Thinstave 240L Fire M TH,N
6205,Saury,XTL M+,Euro,843,860,1140,1180,1100,1125,Bord Thinstave 240L,2yr,Fire,M+,Fine,French Oak,ex W,,TS M+ ,6205,Saury,French Oak,XTL M+,customer name,Saury Bord Exp TS 240L M+ ,Saury French Oak Bord Thinstave 240L Fire M+,N
6215,Saury,XTL M+ TH,Euro,843,860,1160,1200,1120,1145,Bord Thinstave 240L,2yr,Fire,M+ TH,Fine,French Oak,ex W,,TS M+ TH ,6215,Saury,French Oak,XTL M+ TH,customer name,Saury Bord Exp TS 240L M+ TH ,Saury French Oak Bord Thinstave 240L Fire M+ TH,N
6216,Saury,XTL Lumiere,Euro,843,860,1140,1180,1100,1125,Bord Thinstave 240L,2yr,Fire,Lumiere,Fine,French Oak,ex W,,TS Lumiere ,6216,Saury,French Oak,XTL Lumiere,customer name,Saury Bord Exp TS 240L Lumiere ,Saury French Oak Bord Thinstave 240L Fire Lumiere,N
6217,Saury,XTL Lumiere TH,Euro,843,860,1160,1200,1120,1145,Bord Thinstave 240L,2yr,Fire,Lumiere TH,Fine,French Oak,ex W,,TS Lumiere TH ,6217,Saury,French Oak,XTL Lumiere TH,customer name,Saury Bord Exp TS 240L Lumiere TH ,Saury French Oak Bord Thinstave 240L Fire Lumiere TH,N
6230,Saury,XTL Imm M,Euro,843,860,1140,1180,1100,1125,Bord Thinstave 240L,2yr,Immersion,M,Fine,French Oak,ex W,,TS Immersion M ,6230,Saury,French Oak,XTL Imm M,customer name,Saury Bord Exp TS 240L Imm M ,Saury French Oak Bord Thinstave 240L Immersion M,N
6235,Saury,XTL Imm M TH,Euro,843,860,1160,1200,1120,1145,Bord Thinstave 240L,2yr,Immersion,M TH,Fine,French Oak,ex W,,TS Immersion M TH ,6235,Saury,French Oak,XTL Imm M TH,customer name,Saury Bord Exp TS 240L Imm M TH ,Saury French Oak Bord Thinstave 240L Immersion M TH,N
6240,Saury,XTL Imm M+,Euro,843,860,1140,1180,1100,1125,Bord Thinstave 240L,2yr,Immersion,M+,Fine,French Oak,ex W,,TS Immersion M+ ,6240,Saury,French Oak,XTL Imm M+,customer name,Saury Bord Exp TS 240L Imm M+ ,Saury French Oak Bord Thinstave 240L Immersion M+,N
6245,Saury,XTL Imm M+ TH,Euro,843,860,1160,1200,1120,1145,Bord Thinstave 240L,2yr,Immersion,M+ TH,Fine,French Oak,ex W,,TS Immersion M+ TH ,6245,Saury,French Oak,XTL Imm M+ TH,customer name,Saury Bord Exp TS 240L Imm M+ TH ,Saury French Oak Bord Thinstave 240L Immersion M+ TH,N
6246,Saury,XTL Imm Lumiere,Euro,843,860,1140,1180,1100,1125,Bord Thinstave 240L,2yr,Immersion,Lumiere,Fine,French Oak,ex W,,TS Immersion Lumiere ,6246,Saury,French Oak,XTL Imm Lumiere,customer name,Saury Bord Exp TS 240L Imm Lumiere ,Saury French Oak Bord Thinstave 240L Immersion Lumiere,N
6247,Saury,XTL Imm Lumiere TH,Euro,843,860,1160,1200,1120,1145,Bord Thinstave 240L,2yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,TS Immersion Lumiere TH ,6247,Saury,French Oak,XTL Imm Lumiere TH,customer name,Saury Bord Exp TS 240L Imm Lumiere TH ,Saury French Oak Bord Thinstave 240L Immersion Lumiere TH,N
6298,Saury,XTL 3yr L,Euro,865,883,1170,1210,1130,1155,Bord Thinstave 240L,3yr,Fire,L,Fine,French Oak,ex W,,TS 3yr L ,6298,Saury,French Oak,XTL 3yr L,customer name,Saury Bord Exp TS 240L 3yr L ,Saury French Oak Bord Thinstave 240L 3yr Fire L,N
6299,Saury,XTL 3yr L TH,Euro,865,883,1190,1230,1150,1175,Bord Thinstave 240L,3yr,Fire,L TH,Fine,French Oak,ex W,,TS 3yr L TH,6299,Saury,French Oak,XTL 3yr L TH,customer name,Saury Bord Exp TS 240L 3yr L TH,Saury French Oak Bord Thinstave 240L 3yr Fire L TH,N
